rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout,delay_of_previous_client_in_minutes,previous_client_late,delay_of_rental_start_in_minutes,client_rental_start_impacted
546893,385629,connect,ended,-169.0,541445.0,0.0,checkout not delayed,-221.0,no,-221.0,no
546955,398802,mobile,ended,25.0,543655.0,360.0,checkout delayed,73.0,yes,-287.0,no
547368,381754,mobile,ended,,547555.0,270.0,checkout not delayed,44.0,yes,-226.0,no
534856,319886,connect,ended,-40.0,556396.0,0.0,checkout not delayed,-22.0,no,-22.0,no
535326,377509,mobile,ended,-6.0,539365.0,60.0,checkout not delayed,28.0,yes,-32.0,no
536107,385721,connect,ended,62.0,525106.0,570.0,checkout delayed,-439.0,no,-1009.0,no
557368,375553,mobile,ended,11.0,549518.0,720.0,checkout delayed,-86.0,no,-806.0,no
557835,403558,mobile,ended,,554038.0,0.0,checkout not delayed,45.0,yes,45.0,yes
557878,386786,mobile,ended,5.0,553306.0,360.0,checkout delayed,18.0,yes,-342.0,no
558634,380019,mobile,ended,183.0,546644.0,420.0,checkout delayed,84.0,yes,-336.0,no
559213,290109,mobile,ended,-25.0,565976.0,600.0,checkout not delayed,-166.0,no,-766.0,no
559756,405923,mobile,ended,-27.0,566173.0,120.0,checkout not delayed,-933.0,no,-1053.0,no
559922,338940,mobile,ended,,556330.0,180.0,checkout not delayed,-68.0,no,-248.0,no
564693,408680,mobile,ended,-23.0,553639.0,0.0,checkout not delayed,37.0,yes,37.0,yes
538224,340014,connect,canceled,,534999.0,180.0,checkout not delayed,346.0,yes,166.0,yes
539298,356407,mobile,ended,0.0,539220.0,30.0,checkout not delayed,1.0,yes,-29.0,no
539385,355817,mobile,ended,111.0,535816.0,0.0,checkout delayed,209.0,yes,209.0,yes
539733,384479,mobile,ended,73.0,526536.0,660.0,checkout delayed,-17.0,no,-677.0,no
540372,385721,connect,ended,48.0,516961.0,0.0,checkout delayed,-32.0,no,-32.0,no
541493,285241,connect,ended,226.0,562771.0,540.0,checkout delayed,35.0,yes,-505.0,no
541582,334190,connect,canceled,,539414.0,60.0,checkout not delayed,-286.0,no,-346.0,no
551242,406995,mobile,ended,132.0,537861.0,540.0,checkout delayed,38.0,yes,-502.0,no
551310,319886,connect,ended,-636.0,565483.0,510.0,checkout not delayed,-115.0,no,-625.0,no
551372,261576,mobile,canceled,,547240.0,210.0,checkout not delayed,550.0,yes,340.0,yes
551958,403265,connect,canceled,,551363.0,0.0,checkout not delayed,,no,,no
552168,412021,mobile,ended,-8.0,553299.0,360.0,checkout not delayed,13.0,yes,-347.0,no
559883,364783,mobile,ended,49.0,555469.0,660.0,checkout delayed,616.0,yes,-44.0,no
560696,399528,connect,ended,-865.0,526657.0,600.0,checkout not delayed,-181.0,no,-781.0,no
524276,374486,mobile,ended,50.0,541215.0,510.0,checkout delayed,47.0,yes,-463.0,no
528872,395598,mobile,ended,-8.0,548852.0,210.0,checkout not delayed,-101.0,no,-311.0,no
532575,365926,connect,canceled,,537243.0,360.0,checkout not delayed,242.0,yes,-118.0,no
533142,310553,connect,ended,,545223.0,360.0,checkout not delayed,-45.0,no,-405.0,no
561125,195977,connect,ended,-110.0,565777.0,30.0,checkout not delayed,-2.0,no,-32.0,no
562027,379931,mobile,ended,29.0,557945.0,30.0,checkout delayed,-67.0,no,-97.0,no
565610,385073,mobile,ended,-18.0,555340.0,120.0,checkout not delayed,-6.0,no,-126.0,no
566508,307439,mobile,ended,319.0,559522.0,90.0,checkout delayed,63.0,yes,-27.0,no
566923,346519,mobile,ended,-43.0,563977.0,360.0,checkout not delayed,23.0,yes,-337.0,no
567517,358103,mobile,ended,5.0,561286.0,0.0,checkout delayed,10.0,yes,10.0,yes
568976,375834,mobile,ended,91.0,566493.0,60.0,checkout delayed,-32.0,no,-92.0,no
505560,320824,connect,ended,-137.0,532695.0,120.0,checkout not delayed,0.0,no,-120.0,no
510586,393908,mobile,ended,0.0,525150.0,300.0,checkout not delayed,49.0,yes,-251.0,no
523250,364907,connect,ended,-16.0,549567.0,30.0,checkout not delayed,6.0,yes,-24.0,no
533798,404688,mobile,ended,-27.0,524948.0,270.0,checkout not delayed,8.0,yes,-262.0,no
563443,342699,connect,ended,-1.0,566561.0,570.0,checkout not delayed,-13.0,no,-583.0,no
564518,389104,mobile,ended,7.0,546382.0,30.0,checkout delayed,-35.0,no,-65.0,no
565759,409863,mobile,ended,266.0,564788.0,30.0,checkout delayed,-126.0,no,-156.0,no
518368,368132,mobile,ended,-77.0,535618.0,720.0,checkout not delayed,-40.0,no,-760.0,no
519493,389219,mobile,ended,19.0,515851.0,120.0,checkout delayed,-5.0,no,-125.0,no
520878,289720,connect,ended,-42.0,540741.0,120.0,checkout not delayed,4.0,yes,-116.0,no
521403,316678,connect,ended,-31.0,558030.0,60.0,checkout not delayed,-158.0,no,-218.0,no
530724,397728,mobile,ended,5.0,572331.0,270.0,checkout delayed,49.0,yes,-221.0,no
521969,354493,mobile,ended,-54.0,518353.0,210.0,checkout not delayed,17.0,yes,-193.0,no
531952,338940,mobile,ended,320.0,542671.0,0.0,checkout delayed,6.0,yes,6.0,yes
533904,228703,connect,ended,-21.0,519407.0,330.0,checkout not delayed,-1061.0,no,-1391.0,no
535690,313432,mobile,ended,84.0,539109.0,60.0,checkout delayed,58.0,yes,-2.0,no
535914,265239,connect,ended,44.0,538830.0,120.0,checkout delayed,34.0,yes,-86.0,no
536610,328866,mobile,ended,-58.0,549011.0,0.0,checkout not delayed,-47.0,no,-47.0,no
537518,350149,mobile,ended,267.0,538529.0,60.0,checkout delayed,86.0,yes,26.0,yes
552949,352528,connect,ended,-119.0,546489.0,270.0,checkout not delayed,-533.0,no,-803.0,no
553294,394380,mobile,ended,-113.0,540105.0,720.0,checkout not delayed,8.0,yes,-712.0,no
554062,394024,mobile,ended,-48.0,562173.0,0.0,checkout not delayed,73.0,yes,73.0,yes
554280,401475,connect,ended,39.0,553682.0,450.0,checkout delayed,37.0,yes,-413.0,no
542971,314456,connect,ended,-26.0,533380.0,690.0,checkout not delayed,-167.0,no,-857.0,no
543277,265239,connect,ended,-63.0,535914.0,360.0,checkout not delayed,44.0,yes,-316.0,no
543283,314897,mobile,ended,-56.0,540735.0,720.0,checkout not delayed,-14.0,no,-734.0,no
543582,347660,connect,ended,-712.0,539424.0,420.0,checkout not delayed,-117.0,no,-537.0,no
543877,294189,mobile,ended,,512773.0,360.0,checkout not delayed,136.0,yes,-224.0,no
544819,401470,mobile,ended,39.0,543823.0,570.0,checkout delayed,612.0,yes,42.0,yes
545022,363918,mobile,ended,489.0,545032.0,60.0,checkout delayed,-549.0,no,-609.0,no
554942,382444,mobile,ended,-11.0,563834.0,240.0,checkout not delayed,-2.0,no,-242.0,no
555503,346305,mobile,ended,-17.0,537219.0,180.0,checkout not delayed,-185.0,no,-365.0,no
556401,339138,connect,ended,62.0,565263.0,0.0,checkout delayed,-119.0,no,-119.0,no
557023,302561,connect,ended,-25.0,558162.0,60.0,checkout not delayed,-105.0,no,-165.0,no
558403,380407,mobile,ended,4.0,547147.0,0.0,checkout delayed,-240.0,no,-240.0,no
559450,366199,connect,ended,-24.0,547522.0,120.0,checkout not delayed,-1172.0,no,-1292.0,no
559963,331900,mobile,ended,66.0,559063.0,30.0,checkout delayed,63.0,yes,33.0,yes
560479,384567,connect,ended,32.0,559510.0,90.0,checkout delayed,-35.0,no,-125.0,no
560548,351024,mobile,ended,6.0,508535.0,90.0,checkout delayed,102.0,yes,12.0,yes
561744,413333,mobile,ended,-3.0,564275.0,600.0,checkout not delayed,-235.0,no,-835.0,no
569053,393982,mobile,ended,129.0,563562.0,630.0,checkout delayed,21.0,yes,-609.0,no
569211,348551,mobile,ended,115.0,558223.0,330.0,checkout delayed,251.0,yes,-79.0,no
569313,367919,connect,ended,384.0,545720.0,0.0,checkout delayed,8.0,yes,8.0,yes
569366,364783,mobile,canceled,,563995.0,0.0,checkout not delayed,,no,,no
570922,365926,connect,ended,-47.0,573294.0,510.0,checkout not delayed,9.0,yes,-501.0,no
572521,347208,connect,ended,-875.0,571139.0,180.0,checkout not delayed,-90.0,no,-270.0,no
572859,404128,connect,ended,725.0,571634.0,180.0,checkout delayed,12.0,yes,-168.0,no
573135,396755,mobile,canceled,,547901.0,90.0,checkout not delayed,1.0,yes,-89.0,no
506161,369881,connect,ended,6.0,549345.0,30.0,checkout delayed,22.0,yes,-8.0,no
516737,288953,mobile,ended,-868.0,517435.0,30.0,checkout not delayed,-113.0,no,-143.0,no
521258,371933,mobile,ended,-197.0,555541.0,180.0,checkout not delayed,19.0,yes,-161.0,no
526536,384479,mobile,ended,-17.0,538761.0,690.0,checkout not delayed,98.0,yes,-592.0,no
533317,381029,mobile,ended,1.0,539720.0,90.0,checkout delayed,-534.0,no,-624.0,no
562717,402083,connect,ended,493.0,561928.0,360.0,checkout delayed,154.0,yes,-206.0,no
548050,300505,connect,ended,-538.0,541486.0,0.0,checkout not delayed,12.0,yes,12.0,yes
