rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout,delay_of_previous_client_in_minutes,previous_client_late,delay_of_rental_start_in_minutes,client_rental_start_impacted,state_encoded
553356,381684,mobile,ended,-1.0,,,checkout not delayed,,no,,no,0
553367,385783,mobile,ended,24.0,519328.0,150.0,checkout delayed,-4.0,no,-154.0,no,0
553511,363658,mobile,ended,170.0,,,checkout delayed,,no,,no,0
553532,355444,connect,ended,-20.0,,,checkout not delayed,,no,,no,0
553660,412936,mobile,ended,-3.0,,,checkout not delayed,,no,,no,0
553726,347847,mobile,ended,-36.0,,,checkout not delayed,,no,,no,0
553730,390976,connect,ended,-29.0,,,checkout not delayed,,no,,no,0
553755,393972,mobile,ended,1.0,,,checkout delayed,,no,,no,0
553795,402528,connect,ended,11.0,,,checkout delayed,,no,,no,0
553959,398733,mobile,canceled,,,,checkout not delayed,,no,,no,1
553984,410694,mobile,ended,-148.0,,,checkout not delayed,,no,,no,0
554021,411852,mobile,ended,,,,checkout not delayed,,no,,no,0
554025,293785,mobile,ended,37.0,,,checkout delayed,,no,,no,0
554508,241021,connect,ended,-37.0,,,checkout not delayed,,no,,no,0
554572,380002,mobile,ended,358.0,,,checkout delayed,,no,,no,0
554581,406629,mobile,ended,-5.0,,,checkout not delayed,,no,,no,0
554672,352631,mobile,canceled,,,,checkout not delayed,,no,,no,1
554695,402993,mobile,ended,17.0,560722.0,720.0,checkout delayed,-33.0,no,-753.0,no,0
555081,311353,mobile,ended,-72.0,,,checkout not delayed,,no,,no,0
